"","X1","Y1","ProbId1","X2","Y2","ProbId2","X3","Y3","ProbId3","X4","Y4","ProbId4","X5","Y5","ProbId5","X6","Y6","ProbId6","X7","Y7","ProbId7","X8","Y8","ProbId8"
"55",625.48,648.84,1,1075.3,251.16,0.83043,598.29,755.11,0.85748,572.35,616.27,1,1263.3,548.53,0.99999,817.22,266.84,1,NA,NA,NA,1278.2,674.87,0.89362
"56",625.25,639.86,1,1081.3,253.7,0.83043,605.89,760.41,0.85748,571.84,612.49,1,1266.8,535.48,0.99999,820.29,265.79,1,NA,NA,NA,1279.9,669.05,0.89362
"57",625.42,632.31,1,1086.7,256.06,0.83043,613.23,765.61,0.85748,571.8,607.94,1,1269.9,523.86,0.99999,824.13,264.84,1,NA,NA,NA,1281.3,663.94,0.89362
"58",625.22,625.38,1,1088,257.65,0.83043,619.66,770.12,0.85748,571.69,604.62,1,1272,514.63,0.99999,830.97,265.09,1,NA,NA,NA,1282.6,659.39,0.89362
"59",624.85,619.28,1,1094.4,261.89,0.83043,626.09,774.25,0.85748,571.65,600.18,1,1273.5,505.32,0.99999,838.05,264.6,1,NA,NA,NA,1283.9,655,0.89362
"60",624.59,614.34,1,1098.4,264.71,0.83043,630.85,777.37,0.85748,571.65,597.38,1,1269.3,495.81,0.99999,844.35,264.35,1,NA,NA,NA,1285,651.3,0.89362
"61",624.26,609.28,1,1108.9,273.21,0.83043,635.67,780.74,0.85748,571.55,594.38,1,1262.4,485.15,0.99999,849.79,264.34,1,NA,NA,NA,1285.7,648.35,0.89362
"62",623.93,605.03,1,1116.4,278.54,0.83043,639.44,783.42,0.85748,571.59,591.25,1,1256.7,476.02,0.99999,854.92,264.42,1,NA,NA,NA,1286.8,644.67,0.89362
"63",623.43,601.16,1,1123,283.46,0.83043,643.82,786.52,0.85748,571.58,588.11,1,1251.5,467.58,0.99999,859.82,264.52,1,NA,NA,NA,1287.3,642.8,0.89362
"64",623,597.33,1,1128.7,287.91,0.83043,648.1,791.28,0.85748,571.59,585.83,1,1246.2,459.74,0.99999,863.1,264.66,1,NA,NA,NA,1288.2,639.56,0.89362
"65",622.61,594.83,1,1135.3,292.74,0.83043,653.22,798.06,0.85748,574.01,580.86,1,1241.6,452.35,0.99999,867.03,264.63,1,NA,NA,NA,1289.1,636.61,0.89362
"66",620.72,591.75,1,1141,296.65,0.83043,658.3,803.88,0.85748,579,575,1,1240.2,446.64,0.99999,870.33,264.71,1,NA,NA,NA,1289.7,633.97,0.89362
"67",616.89,590,1,1145.7,299.88,0.83043,663.92,810.95,0.85748,583.99,568.26,1,1242.4,443.67,0.99999,874.27,264.81,1,NA,NA,NA,1289,630.89,0.89362
"68",611.51,588.96,1,1149.1,302.29,0.83043,668.43,816.86,0.85748,588.51,562.02,1,1247,442.82,0.99999,876.91,264.8,1,NA,NA,NA,1286,622.83,0.89362
"69",607.74,588.31,1,1154.6,305.76,0.83043,672.25,822.11,0.85748,592.23,556.8,1,1252.5,443.45,0.99999,881.6,264.2,1,NA,NA,NA,1284.4,617.29,0.89362
"70",604.86,587.86,1,1161.9,309.08,0.83043,675.67,826.67,0.85748,596.28,551.5,1,1258.5,445.7,0.99999,889.39,262.68,1,NA,NA,NA,1282.3,611.32,0.89362
"71",601.06,587.23,1,1172.6,316.48,0.83043,679.64,832.09,0.85748,599.9,546.78,1,1257.7,446.5,0.99999,897.34,262.31,1,NA,NA,NA,1281,607.56,0.89362
"72",598.26,587,1,1179.7,321.56,0.83043,682.49,835.9,0.85748,603.78,541.72,1,1259.5,450.74,0.99999,905.09,262.32,1,NA,NA,NA,1279.8,603.29,0.89362
